"","translatedText","detectedSourceLanguage","text"
"507","Hamburg Steak with Fried Onions","en","Hamburg Steak with Fried Onions"
"508","Mashed Turnips","en","Mashed Turnips"
"509","Fried Liver & Bacon","en","Fried Liver & Bacon"
"510","Potatoes","en","Potatoes"
"511","Potatoes Saute","en","Potatoes Saute"
"512","Cherrystones","en","Cherrystones"
"513","Fried and broiled Ham","en","Fried and broiled Ham"
"514","Eclairs","en","Eclairs"
"515","Feet","es","Pies"
"516","Potatoes boiled and Mashed","en","Potatoes boiled and Mashed"
"517","Baked Shad Wine Sauce","en","Baked Shad Wine Sauce"
"518","Hot Biscuits","en","Hot Biscuits"
"519","Bloaters","en","Bloaters"
"520","Broiled Lamb Kidneys and Bacon","en","Broiled Lamb Kidneys and Bacon"
"521","Toast","en","Toast"
"522","Jelly omelette","en","Jelly omelette"
"523","Broiled Lamb Chops and Bacon","en","Broiled Lamb Chops and Bacon"
"524","Sauterne 1ere","en","Sauterne 1ere"
"525","Sherry","en","Sherry"
"526","Smoked Tongue","en","Smoked Tongue"
"527","Mumm's Ex. Dry","en","Mumm's Ex. Dry"
"528","Moet & Chandon, White Seal","en","Moet & Chandon, White Seal"
"529","Moet & Chandon, Brut","nl","Moet & Chandon, Brut"
"530","Blue Point Oysters","en","Blue Point Oysters"
"531","Bisque of Crawfish","en","Bisque of Crawfish"
"532","Fillet of Beef with Fresh Mushrooms","en","Fillet of Beef with Fresh Mushrooms"
"533","Trevise Tomatoes","en","Trevise Tomatoes"
"534","Poularde Stuffed with Chestnuts","en","Poularde Stuffed with Chestnuts"
"535","French Peas with Butter","en","French Peas with Butter"
"536","New Asparagus, Cream Sauce","en","New Asparagus, Cream Sauce"
"537","Sherbert Roman","en","Sherbert Roman"
"538","Red Head Duck","en","Red Head Duck"
"539","Celery Salad","en","Celery Salad"
"540","Fancy Ice Cream","en","Fancy Ice Cream"
"541","Broiled Shad Maitre d'Hotel","en","Broiled Shad Maitre d'Hotel"
"542","Cakes","en","Cakes"
"543","Cheese","en","Cheese"
"544","Mutton chops fried potatoes","en","Mutton chops fried potatoes"
"545","ROAST SQUAB ON TOAST, WITH APRICOTS","en","ROAST SQUAB ON TOAST, WITH APRICOTS"
"546","ASPARAGUS, BROWN BUTTER","en","ASPARAGUS, BROWN BUTTER"
"547","Beef Steak & fried onions","en","Beef Steak & fried onions"
"548","BAKED SWEET POTATOES","en","BAKED SWEET POTATOES"
"549","Smoked Snapper","en","Smoked Snapper"
"550","Fillets of Steak with Champignons","en","Fillets of Steak with Champignons"
"551","Curried Lamb and Rice","en","Curried Lamb and Rice"
"552","Broiled Chicken on Toast","en","Broiled Chicken on Toast"
"553","Curried Shrimps & Rice","en","Curried Shrimps & Rice"
"554","Stewed Tripe, Cream sauce","en","Stewed Tripe, Cream sauce"
"555","Mutton Chops with Fried Potatoes","en","Mutton Chops with Fried Potatoes"
"556","Hamburg Steak with Onions","en","Hamburg Steak with Onions"
"557","Fried Gar fish","en","Fried Gar fish"
"558","Batter Cakes","en","Batter Cakes"
"559","Oat Meal Porridge","en","Oat Meal Porridge"
"560","Eels","en","Eels"
"561","Pork Cutlets","en","Pork Cutlets"
"562","Hamburg Steak Spanish Sauce","en","Hamburg Steak Spanish Sauce"
"563","Lemon Soda","en","Lemon Soda"
"564","Tea & Coffee","en","Tea & Coffee"
"565","Rice, Semolina","en","Rice, Semolina"
"566","Pork Cutlet","en","Pork Cutlet"
"567","Buffalo Lithia Water","en","Buffalo Lithia Water"
"568","1/4 chicken","en","1/4 chicken"
"569","Congress Water","en","Congress Water"
"570","Roast Duck","en","Roast Duck"
"571","Giblets","en","Giblets"
"572","Hunyadi","hu","Hunyadi"
"573","Cabbage","en","Cabbage"
"574","Cornbread","en","Cornbread"
"575","Russet Cider","en","Russet Cider"
"576","Salad","en","Salad"
"577","Cucumber","en","Cucumber"
"578","Liver","en","Liver"
"579","Goulash","en","Goulash"
"580","Sally Lunn Buns","en","Sally Lunn Buns"
"581","Minced Chicken with Creamed Rice","en","Minced Chicken with Creamed Rice"
"582","Veal Chops, Breaded, Sauce Tomate","en","Veal Chops, Breaded, Sauce Tomate"
"583","Steak","en","Steak"
"584","Coffee and Tea","en","Coffee and Tea"
"585","schnitzel","de","Wiener Schnitzel"
"586","Lambs' Liver, Fried with Onions","en","Lambs' Liver, Fried with Onions"
"587","Calves' Liver and Bacon","en","Calves' Liver and Bacon"
"588","Fillet Steaks, Spanish Style","en","Fillet Steaks, Spanish Style"
"589","Eggs in the Sun","fr","Eggs au Soleil"
"590","Stewed Beef","en","Stewed Beef"
"591","Soup Meat","en","Soup Meat"
"592","Pickled Mackerel","en","Pickled Mackerel"
"593","Corned Beef and Cabbage","en","Corned Beef and Cabbage"
"594","Oyster Patties","en","Oyster Patties"
"595","Fillet of Beef a la Financiere","fr","Fillet of Beef a la Financiere"
"596","Curried Mutton and Rice","en","Curried Mutton and Rice"
"597","Beef and Brown Potatoes","en","Beef and Brown Potatoes"
"598","Pork and Apple Sauce","en","Pork and Apple Sauce"
"599","Cauliflower","en","Cauliflower"
"600","String Beans","en","String Beans"
"601","Chicken Liver on Toast","en","Chicken Liver on Toast"
"602","Boiled and Mashed Potatoes","en","Boiled and Mashed Potatoes"
"603","Rice Custard, Cream Sauce","en","Rice Custard, Cream Sauce"
"604","Blackberry Pie","en","Blackberry Pie"
"605","Italian Cream","en","Italian Cream"
"606","Crackers and Cheese","en","Crackers and Cheese"
"607","Roast Phil'a Chicken","en","Roast Phil'a Chicken"
"608","Red Herrings","en","Red Herrings"
"609","Turtle Steaks, Perigueux","en","Turtle Steaks, Perigueux"
"610","Broiled Mutton Chops","en","Broiled Mutton Chops"
"611","Chicken Livers on Toast","en","Chicken Livers on Toast"
"612","Hamburger steaks","de","Hamburger Steaks"
"613","Broiled Cumberland Ham (to order)","en","Broiled Cumberland Ham (to order)"
"614","Veal Cutlets, Tomato Sauce","en","Veal Cutlets, Tomato Sauce"
"615","Stewed rhubarb","en","Stewed rhubarb"
"616","Frizzled Bacon (to order)","en","Frizzled Bacon (to order)"
"617","Fried Potatoes","en","Fried Potatoes"
"618","Stewed Tripe, White Sauce","en","Stewed Tripe, White Sauce"
"619","Stewed French prunes","en","Stewed French prunes"
"620","Florida oranges","en","Florida oranges"
"621","Pork Sausages with Fried Apples","en","Pork Sausages with Fried Apples"
"622","Sliced bananas with cream","en","Sliced bananas with cream"
"623","Hot corn muffins","en","Hot corn muffins"
"624","Pork Sausage with White Wine","en","Pork Sausage with White Wine"
"625","Buttered toast","en","Buttered toast"
"626","Shrewsburys","en","Shrewsburys"
"627","Milk toast","en","Milk toast"
"628","Cream toast","en","Cream toast"
"629","Boston cream toast","en","Boston cream toast"
"630","Codfish Balls","en","Codfish Balls"
"631","Tomatoes","en","Tomatoes"
"632","Roast Turkey","en","Roast Turkey"
"633","Baked Potatoes","en","Baked Potatoes"
"634","Baked apples & whipped cream","en","Baked apples & whipped cream"
"635","Stewed apricots & prunes","en","Stewed apricots & prunes"
"636","Rice tartlets","en","Rice tartlets"
"637","Beefsteak","en","Beefsteak"
"638","Corned beef hash browned","en","Corned beef hash browned"
"639","Anchovis","en","Anchovis"
"640","Mutton Chops & Chips","en","Mutton Chops & Chips"
"641","Rotwurst","en","Rotwurst"
"642","Liver sausage","de","Leberwurst"
"643","Beef steak, Onion Sauce","en","Beef steak, Onion Sauce"
"644","Fried Tom Cod","en","Fried Tom Cod"
"645","Heat Roll","en","Heat Roll"
"646","Pickled Herrings","en","Pickled Herrings"
"647","Eel in Jelly","en","Eel in Jelly"
"648","Brawn","en","Brawn"
"649","Black Sausage","en","Black Sausage"
"650","Liver-sausage","en","Liver-sausage"
"651","Smoked beef","en","Smoked beef"
"652","Smoked Rhine salmon","en","Smoked Rhine salmon"
"653","Boiled Yorkshire ham","en","Boiled Yorkshire ham"
"654","Stewed Pineapple and Rice","en","Stewed Pineapple and Rice"
"655","Pickled cucumbers","en","Pickled cucumbers"
"656","Stewed Prunes and Rice","en","Stewed Prunes and Rice"
"657","Plum Tart","en","Plum Tart"
"658","Oysters a la Poulette","fr","Oysters a la Poulette"
"659","Vermicelli Pudding","en","Vermicelli Pudding"
"660","Sirloin Steaks with Mushrooms","en","Sirloin Steaks with Mushrooms"
"661","Cabinet Whiskey, 15 years old","en","Cabinet Whiskey, 15 years old"
"662","Pork Chops, Breaded Sauce Diable","en","Pork Chops, Breaded Sauce Diable"
"663","Old Pepper Whiskey","en","Old Pepper Whiskey"
"664","Sausages","en","Sausages"
"665","Madeira Cake","en","Madeira Cake"
"666","Fine Old Rye","en","Fine Old Rye"
"667","Rock and Rye","en","Rock and Rye"
"668","Indian Muffins","en","Indian Muffins"
"669","Old Crow Whiskey","en","Old Crow Whiskey"
"670","Tea, Coffee and Chocolate","en","Tea, Coffee and Chocolate"
"671","Mount Vernon Whiskey","en","Mount Vernon Whiskey"
"672","Applejack","en","Applejack"
"673","Hominy Fritters","en","Hominy Fritters"
"674","Fine Holland Gin","en","Fine Holland Gin"
"675","Beef Steak and Onions","en","Beef Steak and Onions"
"676","Old Tom Gin","ja","Old Tom Gin"
"677","Raspberries","en","Raspberries"
"678","Home Made Wild Cherry Bitters","en","Home Made Wild Cherry Bitters"
"679","Kidney Saute, Madeira","en","Kidney Saute, Madeira"
"680","Blackberry Brandy","en","Blackberry Brandy"
"681","Vermouth","en","Vermouth"
"682","Hostetter Bitters","en","Hostetter Bitters"
"683","Booker's Bitters","en","Booker's Bitters"
"684","Sirloin of beef with stewed tomatoes","en","Sirloin of beef with stewed tomatoes"
"685","Boonerkamp Bitters","en","Boonerkamp Bitters"
"686","Pork Chop","en","Pork Chop"
"687","Rhine Wine","en","Rhine Wine"
"688","Port Wine","en","Port Wine"
"689","Lobster Dry Food","fr","Lobster Croquettes"
"690","Milk Punch","en","Milk Punch"
"691","Milk Punch with egg","en","Milk Punch with egg"
"692","Kipperd Herrings","en","Kipperd Herrings"
"693","Claret Punch","en","Claret Punch"
"694","Mignon Fillet a la aux Gourmets","fr","Mignon Fillet a la aux Gourmets"
"695","Manhattan Cocktail","en","Manhattan Cocktail"
"696","Calfs Liver Bordelaise","fr","Calfs Liver Bordelaise"
"697","Whiskey Cocktail","en","Whiskey Cocktail"
"698","Minced Turkey, on Toast","en","Minced Turkey, on Toast"
"699","Broiled Sirloin Steak","en","Broiled Sirloin Steak"
"700","Fried Ham (to order)","en","Fried Ham (to order)"
"701","Breakfast Bacon (to order)","en","Breakfast Bacon (to order)"
"702","Sally Lunns","en","Sally Lunns"
"703","Fish","en","Fish"
"704","Hashed Turkey en Bordura","en","Hashed Turkey en Bordura"
"705","Potato Cake","en","Potato Cake"
"706","Gries-Pudding","en","Gries-Pudding"
"707","Potted Beef","en","Potted Beef"
"708","Anchovies on Toast","en","Anchovies on Toast"
"709","Caviar on Toast","en","Caviar on Toast"
"710","Hamburger Steak, Onion Sauce","en","Hamburger Steak, Onion Sauce"
"711","Lyon Sausage","fr","Lyon Sausage"
"712","Cream of asparagus soup","fr","Potage a la creme d'asperges"
"713","Lamb chops a la Villeroi","en","Lamb chops a la Villeroi"
"714","porridge","en","porridge"
"715","English sliced beans","fr","Sliced beans a l'anglaise"
"716","Puree of Artichokes a la Conde","en","Puree of Artichokes a la Conde"
"717","Lettuce Salad","en","Lettuce Salad"
"718","Tutti-frutti ice cream","it","Tutti-frutti ice cream"
"719","Marchpane pastry","en","Marchpane pastry"
"720","Dessert","en","Dessert"
"721","Roast beef","da","Roastbeef"
"722","All-fruit Rahmeis","it","Tutti-frutti Rahmeis"
"723","Fillets of Halibut, Brown Butter Sauce","en","Fillets of Halibut, Brown Butter Sauce"
"724","Lambs' Liver with Eastern Bacon","en","Lambs' Liver with Eastern Bacon"
"725","Oyster Omelettes","en","Oyster Omelettes"
"726","Sweet Pickles","en","Sweet Pickles"
"727","Beef braise à la bourgeoise","fr","Beef braise a la bourgeoise"
"728","G. H. Mumm's Extra Dry","en","G. H. Mumm's Extra Dry"
"729","Grilled chicken","en","Grilled chicken"
"730","Pork Sausages, Fried Apples","en","Pork Sausages, Fried Apples"
"731","Smoked Beef, Stewed in Cream","en","Smoked Beef, Stewed in Cream"
"732","Grilled York Ham","en","Grilled York Ham"
"733","Fried and Boiled Potatoes","en","Fried and Boiled Potatoes"
"734","New Potatoes Saute","en","New Potatoes Saute"
"735","Delmonico steak","en","Delmonico steak"
"736","Cornet wafers","en","Cornet wafers"
"737","baked or mashed potatoes","en","baked or mashed potatoes"
"738","Fricassee of veal","en","Fricassee of veal"
"739","Fresh English lobster, mayonnaise","en","Fresh English lobster, mayonnaise"
"740","Caviare","en","Caviare"
"741","Beeftongue","en","Beeftongue"
"742","Bermuda potatoes","en","Bermuda potatoes"
"743","Sablath sausage","en","Sablath sausage"
"744","New asparagus","en","New asparagus"
"745","Mixed-pickles","en","Mixed-pickles"
"746","Fry in butter","en","Fry in butter"
"747","Salad: Potato, Chicory","en","Salad: Potato, Chicory"
"748","Neapolitan Ice","en","Neapolitan Ice"
"749","Cheese: Swiss, Cream, Chester","en","Cheese: Swiss, Cream, Chester"
"750","Creamed toast","en","Creamed toast"
"751","Ham","ar","Ham"
"752","Kennebec salmon","en","Kennebec salmon"
"753","Peas","en","Peas"
"754","Mutton Chops, Plain or with Tomato Sauce","en","Mutton Chops, Plain or with Tomato Sauce"
"755","Saute Potatoes","en","Saute Potatoes"
"756","Tomato","en","Tomato"
"757","Watercress","en","Watercress"
"758","Cheddar","en","Cheddar"
"759","Boiled Slices Codfish Vinaigrette Sauce","en","Boiled Slices Codfish Vinaigrette Sauce"
"760","Sherry","es","Jerez"
"761","Sauces in Variety (each)","en","Sauces in Variety (each)"
"762","Fried Perch, Sauce Figaro","en","Fried Perch, Sauce Figaro"
"763","Scallops","en","Scallops"
"764","Lemonade","en","Lemonade"
"765","Soda Water","en","Soda Water"
"766","Anchovy Salad","en","Anchovy Salad"
"767","Ginger Beer","en","Ginger Beer"
"768","Ginger Ale","tl","Ginger Ale"
"769","New Dill Pickles","en","New Dill Pickles"
"770","Small Soda Water","en","Small Soda Water"
"771","Toluca Pilsner","no","Toluca Pilsner"
"772","Beefsteak, roasted & fried","de","Beefsteak, gerostet & gebraten"
"773","Mumm, Extra dry","en","Mumm, Extra dry"
"774","Roast","en","Roast"
"775","Chicken with Okra","en","Chicken with Okra"
"776","Sirloin of Beef, Dish Gravy","en","Sirloin of Beef, Dish Gravy"
"777","Leg of Mutton","en","Leg of Mutton"
"778","Vegetables","en","Vegetables"
"779","Stewed Celery","en","Stewed Celery"
"780","Indian","en","Indian"
"781","Cup of Beef Tea","en","Cup of Beef Tea"
"782","TEA AND COFFEE.","en","TEA AND COFFEE."
"783","Olives","en","Olives"
"784","Green Turtle","en","Green Turtle"
"785","HAMBURGER ROAST","en","HAMBURGER ROAST"
"786","S. Estephe","en","S. Estephe"
"787","Pea Soup","en","Pea Soup"
"788","Cup of Clam Broth","en","Cup of Clam Broth"
"789","Broiled Halibut Steak, Maitre D'Hotel","en","Broiled Halibut Steak, Maitre D'Hotel"
"790","Brook Trout","en","Brook Trout"
"791","English Beefsteak Pie","en","English Beefsteak Pie"
"792","Château Margaux","fr","Chateau Margaux"
"793","Soft Clams a la Manhattan","en","Soft Clams a la Manhattan"
"794","Tenderloin Of Beef, Bretonne","en","Tenderloin Of Beef, Bretonne"
"795","Chicken Pot-Pie","ro","Chicken Pot-Pie"
"796","Small Tenderloin Sauté, Mushrooms","en","Small Tenderloin Sauté, Mushrooms"
"797","Lamb with Green Peas","en","Lamb with Green Peas"
"798","Lamb Chops Sauté, with Peas","en","Lamb Chops Sauté, with Peas"
"799","Whitebait","en","Whitebait"
"800","Pork, Apple Sauce","en","Pork, Apple Sauce"
"801","Turkey, Cranberry Sauce","en","Turkey, Cranberry Sauce"
"802","Shad Roe with Bacon","en","Shad Roe with Bacon"
"803","Soft Shell Crabs","en","Soft Shell Crabs"
"804","Prime ribs of beef with dish gravy","en","Prime ribs of beef with dish gravy"
"805","Iced Tea of Coffee","en","Iced Tea of Coffee"
"806","Turkish Coffee","en","Turkish Coffee"
"807","Halibut","en","Halibut"
"808","Brissotin of Chicken, Supreme","en","Brissotin of Chicken, Supreme"
"809","Tea, Pot","ro","Tea, Pot"
"810","Lettuce, French dressing","en","Lettuce, French dressing"
"811","Fancy Roast on Toast","en","Fancy Roast on Toast"
"812","Coffee, Pot","ro","Coffee, Pot"
"813","Pudding","en","Pudding"
"814","Cream","en","Cream"
"815","Fruits","fr","Fruits"
"816","Candies","fr","Bonbons"
"817","Goblet of Milk","en","Goblet of Milk"
"818","Roast Capon, Sauce Pimentade","en","Roast Capon, Sauce Pimentade"
"819","Cheese and Crackers","en","Cheese and Crackers"
"820","Buttermilk","en","Buttermilk"
"821","Waffles","en","Waffles"
"822","Fresh Strawberries","en","Fresh Strawberries"
"823","Preserved or Canned Fruits","en","Preserved or Canned Fruits"
"824","With Rum","en","With Rum"
"825","2 Apples","en","2 Apples"
"826","2 Bananas","en","2 Bananas"
"827","Oranges, each","en","Oranges, each"
"828","Pears, each","en","Pears, each"
"829","Porter House Steak for two","en","Porter House Steak for two"
"830","Compote of Assorted Fruits","en","Compote of Assorted Fruits"
"831","Fried Shrewsbury eels, sauce tartare","en","Fried Shrewsbury eels, sauce tartare"
"832","Chocolate Bavaroesa with bread","es","Chocolate Bavaroesa con pan"
"833","Coffee or tea cup girl","es","Cafe o te taza chica"
"834","Chocolate a la Espanola with muffin","es","Chocolate a la Espanola con mollete"
"835","Milk alone, cup","es","Leche sola, copa"
"836","Fresh milk","en","Fresh milk"
"837","Cocoa,","en","Cocoa,"
"838","Biscuits","en","Biscuits"
"839","Boiled turbot","en","Boiled turbot"
"840","Shrimp sauce","fr","Sauce crevette"
"841","Melted butter","en","Melted butter"
"842","Ginger","en","Ginger"
"843","Cocoa,","it","Cacao,"
"844","Gromesquis of ham","en","Gromesquis of ham"
"845","Chocolate","nl","Chocolade"
"846","LETTUCE SALAD, VINAIGRETTE","en","LETTUCE SALAD, VINAIGRETTE"
"847","Rolls,","en","Rolls,"
"848","Coffee,","de","Kaffee,"
"849","Dutch Cauliflower","fr","Cauliflower a la hollandaise"
"850","MAYONNAISE OF CHICKEN","en","MAYONNAISE OF CHICKEN"
"851","French fried potatoes","en","French fried potatoes"
"852","Omelet au gratin a la Mornay","fr","Omelet au gratin a la Mornay"
"853","Roast capon, Bordeaux sauce","fr","Roast capon, Sauce bordelaise"
"854","SLICED APPLE PIE","en","SLICED APPLE PIE"
"855","WASHINGTON CREAM PIE","en","WASHINGTON CREAM PIE"
"856","Hashed browned potatoes","en","Hashed browned potatoes"
"857","jam","de","Marmelade"
"858","Lettuce- & Cucumber salad","en","Lettuce- & Cucumber salad"
"859","Sablath-sausage","en","Sablath-sausage"
"860","Breath of lemon","fr","Souffle of lemon"
"861","Mixed ice cream","en","Mixed ice cream"
"862","Macaroon pastry","en","Macaroon pastry"
